Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
linen-tshirt,Organic Linen Tee,"<p>Breathable, sustainably sourced linen for everyday comfort. Pre-washed for a relaxed drape that softens with each wear.</p>",LUXE Global,Apparel & Accessories > Clothing > Shirts & Tops,Apparel,"Apparel, Linen, Sustainable, Tee",TRUE,Title,Default Title,LXG-APP-001,200,shopify,50,deny,manual,4800,,TRUE,TRUE,,https://images.unsplash.com/photo-1648483098902-7af8f711498f?w=1200&q=80&auto=format&fit=crop,1,White organic linen t-shirt flat lay,FALSE,Organic Linen Tee,"Breathable, sustainably sourced linen for everyday comfort. Pre-washed for a relaxed drape that softens with each wear.",active
wool-jacket,Heritage Wool Jacket,"<p>A timeless silhouette in heavyweight Italian wool. Lined for warmth, finished by hand, built to outlast the trend cycle.</p>",LUXE Global,Apparel & Accessories > Clothing > Outerwear,Apparel,"Apparel, Wool, Heritage, Outerwear",TRUE,Title,Default Title,LXG-APP-002,1400,shopify,25,deny,manual,28000,,TRUE,TRUE,,https://images.unsplash.com/photo-1550101361-43e550ffbf66?w=1200&q=80&auto=format&fit=crop,1,Heritage wool jacket in Italian wool,FALSE,Heritage Wool Jacket,"A timeless silhouette in heavyweight Italian wool. Lined for warmth, finished by hand, built to outlast the trend cycle.",active
canvas-sneakers,Canvas Low Sneakers,"<p>Unwashed cotton canvas on a vulcanized rubber sole. Two stitched eyelets, cushioned insole, zero hardware.</p>",LUXE Global,Apparel & Accessories > Shoes,Apparel,"Apparel, Footwear, Canvas, Sneakers",TRUE,Title,Default Title,LXG-APP-003,700,shopify,40,deny,manual,9800,,TRUE,TRUE,,https://images.unsplash.com/photo-1759527588071-e143b4a451b0?w=1200&q=80&auto=format&fit=crop,1,White canvas low sneakers minimalist,FALSE,Canvas Low Sneakers,"Unwashed cotton canvas on a vulcanized rubber sole. Two stitched eyelets, cushioned insole, zero hardware.",active
oak-chair,Hand-Crafted Oak Chair,"<p>Solid white oak, mortise and tenon joinery, hand-finished with food-safe oil. Made one at a time in a small Hokkaido workshop.</p>",LUXE Global,Furniture > Chairs,Home,"Home, Furniture, Oak, Handcrafted",TRUE,Title,Default Title,LXG-HOM-001,6500,shopify,8,deny,manual,38000,,TRUE,TRUE,,https://images.unsplash.com/photo-1636216225378-4ab4ca54ea13?w=1200&q=80&auto=format&fit=crop,1,Solid white oak hand-crafted chair,FALSE,Hand-Crafted Oak Chair,"Solid white oak, mortise and tenon joinery, hand-finished with food-safe oil. Made one at a time in a small Hokkaido workshop.",active
ceramic-lamp,Ceramic Table Lamp,"<p>A round stoneware base in matte porcelain glaze, paired with an unbleached linen shade. Warm-white LED included.</p>",LUXE Global,Furniture > Lamps & Lighting > Table Lamps,Home,"Home, Lighting, Ceramic, Lamp",TRUE,Title,Default Title,LXG-HOM-002,2200,shopify,18,deny,manual,12800,,TRUE,TRUE,,https://images.unsplash.com/photo-1735807009262-59c7c0366042?w=1200&q=80&auto=format&fit=crop,1,Ceramic table lamp with linen shade,FALSE,Ceramic Table Lamp,"A round stoneware base in matte porcelain glaze, paired with an unbleached linen shade. Warm-white LED included.",active
walnut-table,Walnut Coffee Table,"<p>American black walnut with bookmatched grain. Pinned breadboard ends, hand-rubbed oil finish, sealed against rings.</p>",LUXE Global,Furniture > Tables > Coffee Tables,Home,"Home, Furniture, Walnut, Coffee Table",TRUE,Title,Default Title,LXG-HOM-003,18000,shopify,5,deny,manual,58000,,TRUE,TRUE,,https://images.unsplash.com/photo-1766232590982-67ef5c70b787?w=1200&q=80&auto=format&fit=crop,1,American walnut coffee table bookmatched,FALSE,Walnut Coffee Table,"American black walnut with bookmatched grain. Pinned breadboard ends, hand-rubbed oil finish, sealed against rings.",active
ethiopia-coffee,Single Origin Ethiopia 200g,"<p>Yirgacheffe washed lot. Notes of jasmine, bergamot, and stone fruit. Roasted within seven days of shipping.</p>",LUXE Global,"Food, Beverages & Tobacco > Beverages > Coffee",Food,"Food, Coffee, Single Origin, Ethiopia",TRUE,Title,Default Title,LXG-FOO-001,250,shopify,100,deny,manual,1800,,TRUE,TRUE,,https://images.unsplash.com/photo-1675306408031-a9aad9f23308?w=1200&q=80&auto=format&fit=crop,1,Single origin Ethiopia coffee beans,FALSE,Single Origin Ethiopia 200g,"Yirgacheffe washed lot. Notes of jasmine, bergamot, and stone fruit. Roasted within seven days of shipping.",active
raw-honey,Raw Wildflower Honey,"<p>Unfiltered, unpasteurized, single-apiary honey from the foothills of Nagano. 280g jar with wooden dipper.</p>",LUXE Global,"Food, Beverages & Tobacco > Food Items > Condiments & Sauces > Honey",Food,"Food, Honey, Raw, Nagano",TRUE,Title,Default Title,LXG-FOO-002,380,shopify,80,deny,manual,2400,,TRUE,TRUE,,https://images.unsplash.com/photo-1587049352851-8d4e89133924?w=1200&q=80&auto=format&fit=crop,1,Raw wildflower honey jar with wooden dipper,FALSE,Raw Wildflower Honey,"Unfiltered, unpasteurized, single-apiary honey from the foothills of Nagano. 280g jar with wooden dipper.",active
assam-tea,Premium Assam Tea,"<p>Second-flush Assam from a high-elevation tea garden. Bold, malty, and substantial — the British breakfast standard.</p>",LUXE Global,"Food, Beverages & Tobacco > Beverages > Tea & Infusions",Food,"Food, Tea, Assam, Loose Leaf",TRUE,Title,Default Title,LXG-FOO-003,150,shopify,120,deny,manual,1200,,TRUE,TRUE,,https://images.unsplash.com/photo-1666113802599-e4c8b2b9c3a1?w=1200&q=80&auto=format&fit=crop,1,Premium Assam loose leaf tea,FALSE,Premium Assam Tea,"Second-flush Assam from a high-elevation tea garden. Bold, malty, and substantial — the British breakfast standard.",active
coffee-monthly,Monthly Coffee Subscription (Monthly Subscription),"<p>Two 200g bags from rotating origins, delivered the second Tuesday of each month. Pause or cancel anytime.</p>",LUXE Global,"Food, Beverages & Tobacco > Beverages > Coffee",Subscription,"Subscription, Coffee, Monthly",TRUE,Title,Default Title,LXG-SUB-001,450,shopify,100,deny,manual,3200,,TRUE,TRUE,,https://images.unsplash.com/photo-1605711599412-775918dbe770?w=1200&q=80&auto=format&fit=crop,1,Monthly coffee subscription bag,FALSE,Monthly Coffee Subscription (Monthly Subscription),"Two 200g bags from rotating origins, delivered the second Tuesday of each month. Pause or cancel anytime.",active
aroma-monthly,Monthly Aroma Box (Monthly Subscription),"<p>Three 10ml essential oils curated by season, plus a printed scent guide. Sourced from family-run distilleries.</p>",LUXE Global,Health & Beauty > Personal Care > Cosmetics > Aromatherapy,Subscription,"Subscription, Aromatherapy, Essential Oil, Monthly",TRUE,Title,Default Title,LXG-SUB-002,250,shopify,100,deny,manual,4800,,TRUE,TRUE,,https://images.unsplash.com/photo-1515377905703-c4788e51af15?w=1200&q=80&auto=format&fit=crop,1,Monthly essential oil aromatherapy box,FALSE,Monthly Aroma Box (Monthly Subscription),"Three 10ml essential oils curated by season, plus a printed scent guide. Sourced from family-run distilleries.",active
